district_id,state,district,agri_households,pmkisan_enrolled,literacy_rate,female_literacy,rural_share,sc_st_share,internet_access,district_key,uptake_rate,gap,gap_rate,data_quality_flag,residual,predicted_uptake,is_anomaly,intervention,rationale
67,Bihar,Bihar_D27,96060,4803,53.71,44.67,0.805,0.204,0.23,bihar_d27,0.05,91257,0.95,,-0.32468793531459034,0.3746879353145903,True,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
19,Uttar Pradesh,Uttar Pradesh_D19,119509,10992,81.71,63.83,0.889,0.268,0.478,uttar pradesh_d19,0.09197633651022098,108517,0.908023663489779,,-0.31891922660881206,0.410895563119033,True,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
264,Tamil Nadu,Tamil Nadu_D03,86169,4308,50.91,37.26,0.774,0.224,0.324,tamil nadu_d03,0.0499947777042788,81861,0.9500052222957212,,-0.31650490717207275,0.36649968487635154,True,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
43,Bihar,Bihar_D03,98072,8227,78.98,62.67,0.753,0.324,0.338,bihar_d03,0.08388734807080513,89845,0.9161126519291949,,-0.3154839798319087,0.3993713279027138,True,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
128,Maharashtra,Maharashtra_D08,196594,9829,65.34,53.27,0.739,0.404,0.249,maharashtra_d08,0.04999643936234066,186765,0.9500035606376593,,-0.31462643166232934,0.36462287102467,True,CSO partnerships + Gram Sabha drives,High SC/ST share with low uptake indicates exclusion barriers
115,Madhya Pradesh,Madhya Pradesh_D20,359436,17971,59.71,46.66,0.765,0.351,0.201,madhya pradesh_d20,0.049997774290833415,341465,0.9500022257091666,,-0.3144334236173766,0.36443119790821,True,Offline Aadhaar/Jan Dhan linkage camps,Low internet access means digital enrollment channels are failing
123,Maharashtra,Maharashtra_D03,108191,5409,63.97,44.76,0.786,0.43,0.373,maharashtra_d03,0.049994916397851946,102782,0.9500050836021481,,-0.30859631756134387,0.3585912339591958,True,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
203,Odisha,Odisha_D15,171543,8577,60.05,47.25,0.539,0.366,0.357,odisha_d15,0.0499991255836729,162966,0.9500008744163271,,-0.3085401912423116,0.3585393168259845,True,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
37,Uttar Pradesh,Uttar Pradesh_D37,156543,10419,61.84,49.87,0.97,0.323,0.42,uttar pradesh_d37,0.0665567927023246,146124,0.9334432072976754,,-0.3021751739593001,0.3687319666616247,True,IEC campaign + block-level panchayat drives,General awareness deficit — targeted outreach events recommended
182,Karnataka,Karnataka_D09,174820,17896,57.58,41.58,0.641,0.068,0.177,karnataka_d09,0.10236815009724287,156924,0.8976318499027571,,-0.30165742362208237,0.40402557371932524,True,Women SHG-led enrollment drives,Female literacy below 45% signals awareness gap among women beneficiaries
